ticker,sector,direction,PS_A(SF),PS_B(FMP),delta,n_yrs_SF,n_yrs_FMP,mixed,altman_flip
ANF,Consumer Cyclical,IN,60.67,63.28,2.61,5,5.0,,
APH,Technology,IN,61.09,62.16,1.07,5,5.0,,
CPE,Energy,IN,60.57,62.62,2.05,1,,,
CSCO,Technology,IN,62.19,63.62,1.43,4,5.0,,Y
CTT,Real Estate,IN,62.01,62.17,0.16,2,,,
DORM,Consumer Cyclical,IN,60.25,64.47,4.22,5,5.0,,
EAT,Consumer Cyclical,IN,60.93,64.19,3.26,4,5.0,,
ENSG,Healthcare,IN,62.04,62.24,0.2,5,5.0,,
EPRT,Real Estate,IN,56.68,62.89,6.21,5,5.0,,
GIII,Consumer Cyclical,IN,58.86,64.56,5.7,5,4.0,Y,
HOOD,Financial Services,IN,62.24,62.28,0.04,5,,,
HSAI,Consumer Cyclical,IN,51.35,71.9,20.55,4,5.0,,Y
HST,Real Estate,IN,60.23,63.82,3.59,5,5.0,,
HTGC,Financial Services,IN,61.57,62.78,1.21,5,5.0,,
IBRX,Healthcare,IN,56.29,68.27,11.98,5,5.0,,
IMAX,Consumer Cyclical,IN,59.95,62.39,2.44,3,5.0,,Y
KTB,Consumer Cyclical,IN,61.38,62.16,0.78,5,5.0,,
LRCX,Technology,IN,60.17,62.28,2.11,4,5.0,,
LYV,Consumer Cyclical,IN,61.71,64.31,2.6,5,5.0,,
MPLX,Energy,IN,60.64,62.91,2.27,5,5.0,,
NFLX,Consumer Cyclical,IN,62.21,63.82,1.61,5,,,
NTNX,Technology,IN,60.56,63.0,2.44,4,5.0,,
NWE,Utilities,IN,60.4,67.39,6.99,3,5.0,,
OC,Basic Materials,IN,57.45,64.22,6.77,5,5.0,,
PVAC,Energy,IN,61.81,62.65,0.84,3,,,
SIGA,Healthcare,IN,61.71,62.26,0.55,1,,,
TPR,Consumer Cyclical,IN,56.01,65.45,9.44,4,5.0,,
TRIN,Financial Services,IN,57.07,68.88,11.81,5,5.0,,Y
VERV,Healthcare,IN,57.38,64.99,7.61,5,5.0,,
ABG,Consumer Cyclical,OUT,73.42,54.03,-19.39,3,5.0,,
ADP,Industrials,OUT,63.37,61.2,-2.17,4,5.0,,
AGX,Industrials,OUT,70.31,53.37,-16.94,5,4.0,Y,
AMPH,Healthcare,OUT,62.25,59.65,-2.6,5,5.0,,
AN,Consumer Cyclical,OUT,74.69,52.02,-22.67,3,5.0,,
BBIO,Healthcare,OUT,62.26,61.87,-0.39,5,,,
BMI,Technology,OUT,62.67,62.01,-0.66,5,5.0,,
BMY,Healthcare,OUT,62.46,59.7,-2.76,5,,,
CME,Financial Services,OUT,63.87,62.07,-1.8,5,5.0,,
CPRI,Consumer Cyclical,OUT,65.93,22.67,-43.26,3,4.0,Y,
DRQ,Energy,OUT,68.75,57.32,-11.43,5,5.0,,
DX,Real Estate,OUT,65.25,53.07,-12.18,5,5.0,,
FHI,Financial Services,OUT,62.82,61.32,-1.5,5,5.0,,
G,Industrials,OUT,64.42,61.95,-2.47,3,5.0,,
GAMB,Consumer Cyclical,OUT,68.66,57.75,-10.91,5,5.0,,
HGV,Consumer Cyclical,OUT,66.94,42.09,-24.85,3,5.0,,
MASI,Healthcare,OUT,65.97,39.61,-26.36,3,5.0,,
PAG,Consumer Cyclical,OUT,67.73,52.96,-14.77,3,5.0,,
PEN,Healthcare,OUT,63.17,61.58,-1.59,5,5.0,,
PR,Energy,OUT,70.96,57.28,-13.68,5,5.0,,
RDVT,Technology,OUT,63.66,60.51,-3.15,5,5.0,,
RH,Consumer Cyclical,OUT,66.7,27.25,-39.45,3,5.0,,
RITM,Real Estate,OUT,62.4,61.81,-0.59,1,,,
SBTX,Healthcare,OUT,69.17,59.22,-9.95,5,5.0,,
SGFY,Technology,OUT,65.76,47.23,-18.53,3,5.0,,
STLA,Consumer Cyclical,OUT,72.43,33.85,-38.58,3,5.0,,
STM,Technology,OUT,74.37,48.31,-26.06,3,5.0,,
SWTX,Healthcare,OUT,62.45,62.12,-0.33,5,,,
WDFC,Basic Materials,OUT,62.64,57.69,-4.95,5,5.0,,
