ticker,potential_score_sf,potential_score_fmp,dpot
CALX,60.46,21.78,38.68
RH,66.7,36.41,30.290000000000006
STLA,72.43,43.73,28.70000000000001
MASI,65.97,38.83,27.14
ROIV,50.77,24.24,26.530000000000005
ABG,73.42,52.76,20.660000000000004
STM,74.37,56.45,17.92
SGFY,65.76,48.79,16.970000000000006
AGX,70.31,54.74,15.57
PR,70.96,57.52,13.43999999999999
DRQ,68.75,55.67,13.079999999999998
DOCU,49.01,59.67,10.660000000000004
ALTM,75.17,66.83,8.340000000000003
SNDL,34.11,26.04,8.07
EXPE,64.9,59.08,5.820000000000007
POST,54.06,59.88,5.82
SEAT,60.07,54.28,5.789999999999999
VEC,64.12,68.88,4.759999999999991
AGNC,61.86,57.27,4.589999999999996
SAFE,59.6,55.69,3.9100000000000037
EHC,73.97,77.53,3.5600000000000023
DECK,61.51,64.87,3.3600000000000065
DUOL,69.92,66.6,3.3200000000000074
REPX,54.51,51.3,3.210000000000001
CAMT,51.27,48.27,3.0
