ticker,sector,PS_SF,PS_FMP,V,Q,G,S,G_SF,n_SF,n_FMP,FY_SF,FY_FMP,latest_fmp_date,filing_age,flags
APP,tech_software,52.54,87.6,37.66,98.32,99.1,83.21,30.54,5,6,2024,2025.0,2025-12-31,498,
PLTR,tech_software,75.77,85.86,5.19,94.41,97.74,98.54,80.09,5,6,2024,2025.0,2025-12-31,507,
CEPU,utilities,83.02,83.64,99.49,93.15,,81.63,,1,0,2020,,None,1901,
MLI,industrials,82.53,82.86,86.9,69.39,94.06,89.38,91.09,3,0,2022,,None,1228,
GSL,industrials,82.11,82.46,94.5,92.95,93.02,71.15,93.02,4,0,2023,,None,842,
TCOM,consumer_disc,70.87,80.39,100.0,90.02,82.81,62.71,90.95,5,6,2024,2025.0,2025-12-31,455,
NEM,industrials,67.09,78.57,70.96,87.5,94.25,69.35,70.65,5,6,2024,2025.0,2025-12-31,504,MOMENTUM_VALUE
CTRA,energy,77.07,78.06,87.64,78.0,97.62,57.41,97.62,3,0,2022,,None,1229,UNPRICED
QDEL,healthcare,77.86,77.86,100.0,93.79,,63.33,,2,0,2021,,None,1603,
YOU,tech_software,80.4,77.86,86.24,95.73,79.19,76.46,93.67,5,6,2024,2025.0,2025-12-31,499,
NEU,industrials,78.54,77.25,66.58,95.56,67.99,88.89,74.43,5,6,2024,2025.0,2025-12-31,511,QUIET_COMPOUNDER
MNDY,tech_software,79.72,77.06,14.6,93.37,91.4,77.01,96.38,5,6,2024,2025.0,2025-12-31,480,
AAWW,industrials,78.32,76.76,85.02,62.18,90.7,63.46,90.7,3,6,2022,2022.0,2022-12-31,1233,DELISTED
POWL,industrials,71.2,76.63,69.04,84.98,94.12,86.73,96.04,5,6,2024,2025.0,2025-09-30,597,
META,tech_software,71.4,76.58,42.25,88.6,92.86,85.29,82.14,5,6,2024,2025.0,2025-12-31,526,CROWDED
CRWD,tech_software,77.1,76.44,3.39,78.61,93.67,77.92,94.12,5,6,2024,2026.0,2026-01-31,487,
NVDA,tech_hardware,75.71,76.37,27.61,97.04,98.84,81.16,98.57,5,6,2024,2026.0,2026-01-25,499,CROWDED
ZS,tech_software,80.57,76.36,5.93,78.47,89.59,88.69,98.19,4,6,2024,2025.0,2025-07-31,666,
RL,consumer_disc,77.99,75.98,27.74,87.39,86.93,97.3,87.83,5,6,2024,2026.0,2026-03-28,414,
EAT,consumer_disc,71.03,75.69,74.6,56.14,75.11,100.0,61.8,5,6,2025,2025.0,2025-06-25,329,
